idEtudiant;etuNom ;etuPrenom;etuAdresse;etuEmail;etuTelephone
;Gerard;Ethan;1174, Thiré, Rue Isabey 97;tatiana.maurice@etml.educanet2.ch;078.456.45.16
;Lemaire;Émilie;1618, Villers-lès-Nancy, Avenue du Général-Tripier 22;marion.marques@etml.educanet2.ch;078.891.26.53
;Da costa;Yanis;1096, Villeneuvette, Rue Geoffroy-Saint-Hilaire 39;noemie.bigot@etml.educanet2.ch;079.179.90.76
;Humbert;Julien;1913, Ploemeur, Place Alfred-Sauvy 84;gilbert.fortin@etml.educanet2.ch;075.630.74.76
;Leon;Jeanne;1425, Vitteaux, Place Jacques-Rueff 44;eva.marty@etml.educanet2.ch;078.138.89.49
;Ferreira;Alicia;1878, Rimbez-et-Baudiets, Rue de Grenelle 7;killian.da.silva@etml.educanet2.ch;077.211.10.59
;Schmitt;Timothée;1300, Villers-sur-Auchy, Rue Fourcroy 24;davy.chapuis@etml.educanet2.ch;076.023.95.12
;Lefevre;Arthur;1990, Saint-Germain-sur-Bresle, Rue Ernest-Hemingway 75;francoise.adam@etml.educanet2.ch;077.773.86.33
;Mas;Tatiana;1464, Saint-Yon, Rue Déodat-de-Séverac 38;matheo.regnier@etml.educanet2.ch;079.710.69.03
;Meunier;Lana;1940, Fontaine-lès-Dijon, Cité de la Chapelle 79;loane.guillou@etml.educanet2.ch;076.223.29.89
;Jourdain;Ethan;1619, Saint-Étienne-de-Chigny, Cité Hermel 66;paul.arnaud@etml.educanet2.ch;078.970.78.06
;Guillon;Maïwenn;1953, Saint-Nicolas-la-Chapelle, Rue Froidevaux 14;esteban.klein@etml.educanet2.ch;076.240.75.61
;Marty;Célia;1237, Septème, Rue de Bazeilles 60;theo.vidal@etml.educanet2.ch;075.328.86.31
;Bigot;Nicolas;1383, Vazerac, Rue des Balkans 15;cloe.vial@etml.educanet2.ch;077.139.03.98
;Langlois;Émile;1000, Vendeuvre-du-Poitou, Rue Cauchy 40;anael.roques@etml.educanet2.ch;075.018.20.58
;Da costa;Marine;1701, Bois-Colombes, Rue du Général-de-Castelnau 27;ethan.gomes@etml.educanet2.ch;075.365.37.76
;Castel;Justine;1458, Villegouge, Rue Beauregard 74;guillaume.picot@etml.educanet2.ch;078.718.44.23
;Comte;Constant;1964, Paris 4ème, Place Francis-Poulenc 39;zacharis.laine@etml.educanet2.ch;079.975.27.02
;Gras;Juliette;1385, Donzy, Passage des Acacias 68;erwan.baudry@etml.educanet2.ch;076.093.80.75
;Lebrun;Simon;1957, Wambercourt, Rue Dareau 61;lamia.guillaume@etml.educanet2.ch;077.534.35.75
;Jacques;Enzo;1305, Pléneuf-Val-André, Villa Albert-Robida 52;florian.le.corre@etml.educanet2.ch;077.864.46.68
;Lamy;Gabriel;1281, Vix, Rue Cassette 70;marwane.leclerc@etml.educanet2.ch;078.925.68.67
;Andrieux;Théo;1228, Colombes, Passage Doisy 7;louise.simon@etml.educanet2.ch;078.207.27.67
;Marques;Marion;1109, Oignies, Rue Fernand-Foureau 79;maxime.gilles@etml.educanet2.ch;077.058.42.66
;Carre;Guillemette;1335, Saint-Pierre-de-Chignac, Place Émile-Landrin 76;lou.bourgeois@etml.educanet2.ch;078.372.85.26
