idFormateur;formateurNom;formateurPrenom;formateurAdresse;formateurEmail;formateurTelephone;formateurTitres
;Royer;Eva;1983, Saint-Domet, Rue Drouot 23;eva.royer@vd.ch;079.739.04.79;Bachelor en informatique
;Gervais;Léon;1381, Bouchemaine, Rue du Général-Bertrand 90;leon.gervais@vd.ch;076.989.30.84;Bachelor HEP
;Dupuy;Maryam;1639, Saint-Maurice-d'Ételan, Rue des Immeubles-Industriels 38;maryam.dupuy@vd.ch;076.688.50.94;Bachelor en informatique
;Leroux;Nevin;1452, Le Valtin, Rue des Irlandais 51;nevin.leroux@vd.ch;077.549.15.35;Diplome de l'ETML
;Bouchard;Amandine;1835, Sailly, Rue Capron 97;amandine.bouchard@vd.ch;076.782.03.74;Bachelor en informatique
;Breton;Tristan;1726, Plourivo, Rue du Capitaine-Ménard 58;tristan.breton@vd.ch;075.664.82.62;Bachelor HEP
;Tran;Nina;1862, Saint-Léger, Rue Aimé-Lavy 5;nina.tran@vd.ch;075.290.55.54;Diplome de l'ETML
;Guibert;Marion;1275, Uhart-Mixe, Rue Deguerry 11;marion.guibert@vd.ch;079.132.02.11;Bachelor en informatique
;Prevot;Alexia;1884, Zevaco, Quai des Célestins 77;alexia.prevot@vd.ch;076.365.42.90;Bachelor HEP
;Boyer;Amaury;1894, Saint-Georges-d'Orques, Villa des Aigrettes 42;amaury.Boyer@vd.ch;078.526.16.31;Diplome de l'ETML
;Faure;Valentin;1006, Piana, Cité Jandelle 5;valentin.Faure@vd.ch;075.760.54.26;Bachelor en informatique
;Fortin;Jasmine;1469, Ventabren, Villa Baumann 74;jasmine.fortin@vd.ch;079.051.11.75;Bachelor HEP
;Salmon;Amaury;1409, Villespassans, Rue de Calais 7;amaury.salmon@vd.ch;079.997.01.57;Diplome de l'ETML
;Laurent;Élisa;1531, Montagnac, Avenue Gabriel 63;elisa.laurent@vd.ch;076.360.59.84;Bachelor en informatique
;Granier;Agathe;1346, Saint-Mars-Vieux-Maisons, Rue du Docteur-Lancereaux 74;agathe.granier@vd.ch;078.615.85.73;Diplome de l'ETML
;Ferrer;Léo;2000, Bihorel, Rue du Dôme 2;léo.ferrer@vd.ch;075.421.67.44;Diplome de l'ETML
;Torres;Lamia;1314, Montpellier, Avenue de l'Abbé-Roussel 90;lamina.torres@vd.ch;079.672.11.00;Diplome de l'ETML
;Henry;Mathéo;1046, Nuillé-sur-Vicoin, Rue du Capitaine-Ferber 64;matheo.henry@vd.ch;079.478.23.32;Bachelor en informatique
;Lopez;Erwan;1755, Recquignies, Rue d'Édimbourg 17;erwan.lopez@vd.ch;078.941.48.84;Bachelor HEP
;Guichard;Baptiste;1007, Saint-Mars-Vieux-Maisons, Rue Forceval 68;baptiste.guichard@vd.ch;079.758.08.74;Diplome de l'ETML
;Rousset;Mathieu;1155, Villy-le-Bas, Rue de Franqueville 25;mathieu.rousset@vd.ch;079.988.41.22;Diplome de l'ETML
;Camus;Lina;1375, Vauvillers, Rue Édouard-Lockroy 48;Lina.camus@vd.ch;076.445.28.85;Bachelor HEP
;Lacroix;Jordan;1577, Lachapelle-sous-Rougemont, Rue Gustave-Geffroy 50;jordan.lacroix@vd.ch;076.769.42.99;Diplome de l'ETML
;Paris;Emma;1820, Biarritz, Rue de l'Abbé-Roger-Derry 81;adrien.lombard@vd.ch;075.046.29.70;Diplome de l'ETML
;Roche;Yanis;1004, La Paquelais, Rue Irénée-Blanc 61;yanis.roches@vd.ch;077.372.95.09;Bachelor HEP
